Index,Word,Meaning,Synonyms,Conjugation
81,adimika,kuwa haba : Sukumawiki imeadimika kwa sababu ya ukame.,,
82,adimisha,"sababisha kupatikana kwa shida, fanya kuwa shida kupatikana : Ukame umeadimisha mahindi.",,
83,adimu,-enye kupatikana kwa shida,,
84,adinasi,"mtoto wa mtu | mtoto anayetoka kwenye ukoo mwema, mtoto mwenye tabia njema","mwanadamu, binadamu",
85,admeri,mkuu wa jeshi la wanamaji,,
86,adrenali,moja kati ya jozi ya glandi mwilini iliyo juu ya figo inayotoa adrenalini,,
87,adrenalini,kemikali ya mwilini ambayo huufanya moyo kwenda kasi na kumpa mtu nguvu zaidi anaposhtuka,,
88,adua,"fanyia sadaka mizimu, tolea mizimu kafara | husudu | omba dua dhidi ya kijicho",,
89,adui,"mtu aliye dhidi yako, kitu kibaya unachopambana nacho kwa mfano magonjwa, njaa, chuki, wivu, ujinga na kadhalika | mshindani",hasimu,
90,advansi,malipo ya awali,"chambele, karadha, kishauzu, rubuni, arbuni",
91,afa,mtu anayefanya matendo mabaya kwa wengine,,
92,afadhali,-zuri zaidi : Shati alilovaa leo ni afadhali kuliko alilovaa jana.,bora,
93,afanalek!,neno la kuonyesha mshangao,,
94,afande,mtu anayefira wanaume wenzake,"mfiraji, basha",
95,afande!,jina la heshima analoitwa askari wa cheo cha juu na mdogo wake | namna ya kuitikia ambayo askari wa cheo cha chini huitikia anapoitwa na mkubwa wake,,
96,afazia,maradhi yanayomfanya mtu kusahau baadhi ya maneno kwa sababu ya ubongo kuathirika,,
97,afiki,kubaliana na hoja zilizotolewa | kuwa katika hali ya kufaa au kupendeza,,"afikia, afikiana, afikika, afikisha, afikiwa"
98,afikiana,fikia mapatano na mtu kuhusu kitu au jambo,,
99,afikisha,"tenga maneno kwa alama k.m kituo, kikomo na kadhalika",,"akifisha, akifishika, akifishwa"
100,afisa,"mtu mwenye madaraka katika ofisi | mtu mwenye cheo katika jeshi ; afisa kadeti, afisa wa polisi, afisa wa magereza",,
101,afkani,ugonjwa wa moyo,,
102,afkani,mwehu,"punguani, zuzu",
103,Afrika,"moja ya mabara saba ya dunia ambalo limezungukwa na Bahari ya Hindi, Bahari ya Atlantiki, Bahari ya Mediterani na Bahari ya Sham",,
104,afrikanaizesheni,"utaratibu wa kukabidhi madaraka kwa Waafrika, Wazungu walipoondoka baada ya uhuru",,
105,afriti,jini aletaye madhara kwa watu | mtu anayeshawishi wenzake wafanye uhalifu au mambo maovu | mtu mjanjamjanja asiyeaminika,,
106,afu,omba maghufira kutoka kwa Mungu | linda,kinga,"afia, afika, afisha"
107,afu,ua dogo jeupe linalonukia vizuri,asumini mwitu,
108,afu,msamaha wa dhambi anaopewa mtu na Mungu | uponaji | wokovu | ulinzi,ghofira,
109,afua,"hali ya kupona au kuwa na afya nzuri, hali ya kuwa na uzima wa afya",,
110,afueni,"tendo la kupungua kwa maradhi, hali ya kupata hujambo : Baada ya kuugua kwa muda, Atiamuga alipata afueni.",,
111,afwaji,mkusanyiko wa watu kadhaa | kikundi cha askari wakiwa na silaha zao,kikundi,
112,afya,"hali ya uzima, hali ya kuwa na siha : Afya ya Mwende imeimarika kwa sababu ya mazoezi.",,
113,afya,hutumiwa na watoto wanaposhauriana kufanya jambo : Afya! Tucheze mpira.,,
114,afya!,"neno la kumwombea mtu uzima anapoenda chafya, neno la kutakiana uzima wakati wa burudani ya kunywa ulevi : Tunywe kwa afya zetu!",,
115,afyuni,dawa ya kulevya inayotengenezwa kwa uteute au nta ya maua,kasumba,
116,aga,"ambia mtu kwaheri, sema buriani",,"agana, agia, agika, agisha, agwa"
117,agaa,anguka au ponyoka kutoka mkononi | miminika,tawanyika,"agalia, agalika, agalisha"
118,agana,afikiana na mtu kufanya jambo | takiana heri na mtu mnapoachana,,
119,agano,mapatano,"ahadi, makubaliano",
120,Agano Jipya,sehemu ya pili inayomhusu Kristo katika Maandiko ya Biblia,,
121,Agano la Kale,sehemu ya kwanza katika Maandiko ya Biblia,,
122,aghalabu,"kwa kawaida : Watu wanaofanya mazoezi, aghalabu huwa na afya njema.",mara nyingi,
123,agia,"faa au kubalika kwa jambo, hoja au fikra : Mpango ule haukuniagia. | pendezesha mtu au kitu : Nguo hii imekuagia.",,"agika, agilia, agisha"
124,agiza,"elekeza mtu kufanya jambo fulani | taka uletewe kitu kutoka mahali pengine, taka uwekewe kwa ajili ya kufanya ununuzi | amuru, amrisha",,"agizia, agiziana, agizika, agizisha, agiziwa, agizwa"
125,agizo,amri anayopewa mtu ili atekeleze jambo fulani,,
126,ago,sehemu anayokaa mtu kwa muda tu kwa nia ya kupumzika : Baba amempakata mtoto agoni kwa mara ya kwanza leo. | kirago au makazi ya muda ya mtu,dago,
127,ago,sehemu ya mwili iliyo baina ya goti na kiuno,"paja, koro",
128,Agosti,mwezi wa nane katika kalenda ya mwaka,,
129,agronomia,sayansi ya usimamizi wa udongo na uzalishaji wa mazao shambani,,
130,agua,"weza kujua yatakayotokea baadaye : Samweli anaweza kuagua mustakabali wako kwa kukitazama kitanga cha mkono wako. | elezea maana ya ndoto, tukio au ishara iliyojitokeza, tafsiri ndoto | tibu | punga shetani","bashiri, tabiri","agulia, agulika, aguliwa"
131,aguzi,utabiri wa yatakayotokea baadaye : Mara nyingi aguzi lake huwa ni la kweli.,ubashiri,
132,AH,"AlHijra, siku ambayo Mtume Muhammad (S.A.W.) alihama Makka na kukimbilia Madina, mwanzo wa tarehe ya Kiislamu",,
133,ah!,"sauti ya kuashiria kulalamika, sauti ya kuashiria maumivu: Ah! : Baridi imezidi leo ->",,
134,ahaa!,neno linalotumika kuonyesha mshangao : Ahaa! Kumbe muda wote ule ulikuwa ukinidanganya!,"kumbe!, hivyo!, alaa!, aha!",
135,ahadharu,kijani,,
136,ahadi,agano la kutimiza kitu au jambo fulani : Maimuna alimwambia ndugu yake asitoe ahadi kama hawezi kuitimiza.,,
137,ahadi,mauti,kifo,
138,ahali,mwanamke aliyeolewa | ndugu na jamaa,"mke, ukoo",
139,ahamaru,-ekundu,,
140,ahasi,-liye mbaya kuliko : Yeye ni mbaya lakini kaka yake ni ahasi.,,
141,ahera,kule ambako inaaminika binadamu wataishi baada ya kufufuliwa,,
142,aheri,mwisho,,
143,aheri,bei ya mwisho : Nini aheri yako? | mlo wa mwisho katika mchezo wa karata : Tulipofika aheri ya mchezo nilizikumba karata zote mezani.,,
144,ahidi,toa ahadi : Makumbi aliahidi kusaidia ujenzi wa shule ya kijiji.,,"ahidia, ahidiana, ahidika, ahidisha, ahidiwa"
145,ahiri,toa ahadi: Makumbi aliahidi kusaidia ujenzi wa shule ya kijiji.,,"ahidia, ahidiana, ahidika, ahidisha, ahidiwa"
146,ahirika,chelewa kufanyika kama ilivyopangwa : Safari imeahirika kwa sababu meli imeharibika.,,
147,ahirisha,amua kufanya wakati mwingine : Tuliahirisha mkutano kwa sababu idadi ya wajumbe ilikuwa ndogo.,"ahiri, kawiza, chelewesha","ahirishia, ahirishiana, ahirishika, ahirishwa"
148,ahsante!,tamko analotoa mtu wakati wa kushukuru,,
149,ahueni,nafuu,afueni,
150,aibika,pata aibu,fedheheka,"aibikia, aibisha, aibishana, aibishia, aibishika, aibishwa"
151,aibisha,tenda vitu vya kutahayarisha,"fedhehesha, dharaulisha","aibishika, aibishwa, aibishana"
152,aibu,"jambo la kumtia mtu fedheha, jambo la kumvunjia mtu heshima","tahayuri, soni",
153,aidha,zaidi ya hayo,"vilevile, isitoshe",
154,aidini,kemikali inayotumiwa kutibu vidonda,,
155,aila,familia,"ndugu, ahali",
156,aili,-pa mtu lawama | fungulia au tolea mtu mashtaka,"laumu, shtaki","ailia, ailiana, ailika, ailisha, ailiwa"
157,aili,tamko la kumlaumu au kumshtaki mtu,"shtaka, lawama",
158,aimi!,tamko la kujionea huruma : Aimi! Nafa njaa jamani.,,
159,aina,"jinsi kitu kilivyo : Viatu vyangu ni vya aina ya ngozi, vyako je?, Ali na Asha wamevaa nguo za rangi ya aina moja.",,
160,aini,"eleza jinsi kitu kilivyo, fafanua sifa za kitu",,"ainia, ainika, ainisha, ainiwa"
161,ainisha,"weka katika makundi mbalimbali | gawa tena, gawa mara nyingi | chambua | panga | taja",changanua,
162,airisi,"kiwambo kidogo chenye misuli yenye rangi, kinachozunguka na kudhibiti ukubwa wa mboni ya jicho",,
163,aisee!,namna ya kumwita mtu ili akusikilize,,
164,aisikirimu,"mchanganyiko wa maziwa na sukari uliogandishwa kwa ubaridi | mchanganyiko mtamu wa kwa mfano sukari, maji, matunda na maziwa uliogandamizwa katika barafu na unaoliwa aghalabu ukiwa umeganda",,
165,ajaa,"tendo, tukio, kitu au hali ya kustaajabisha",,"ajabiana, ajabika, ajabisha, ajabiwa"
166,ajabia,ona ajabu : Hili si jambo la kuajabia.,shangaa,"ajabiana, ajabika, ajabisha, ajabiwa"
167,ajabu,"kitu kisicho cha kawaida, cha kushangaza na kustaajabisha",,
168,ajabu,"-a kigeni, si -a kawaida, -a pekee, -a kioja : Kasuku ni ndege mwenye sauti ya ajabu. | isiyoaminika ; -a kimiujiza : Ni ajabu mtoto kuzaliwa na meno yote.",,
169,ajabu,"kupita kawaida : Mwezi wa Desemba, jua huwa kali ajabu katika Jiji la Mombasa.",,
170,ajali,Tukio linalodhuru lililotokea kwa bahati mbaya | mkosi,,
171,ajari,kazi inayofanywa baada ya saa rasmi za kazi au siku isiyo ya kazi na ambayo malipo yake hulipwa kando ya mshahara,,
172,ajemi,aina ya mkate unaofanana na chapati unaookwa kwenye tanuri la mkaa,,
173,Ajemi,nchi ya Irani,Uajemi,
174,ajenda,mambo ya kuzungumzwa kwenye mkutano | mpango : Una ajenda ya siri.,,
175,ajenti,mtu au asasi inayofanya biashara au inayotoa huduma kwa niaba ya mtu au kampuni nyingine,wakala,
176,ajibu,-a kupendeza,barabara,
177,ajibu,ndivyo hasa,"barabara, sawasawa",
178,ajihi,endea mtu aishiye mbali nawe kwa nia ya kumtembelea | kutana ana kwa ana,,"ajihiana, ajihika, ajihisha, ajihiwa"
179,ajila,utendaji wa jambo bila kukawia | umuhimu,haraka,
180,ajilani,"bila kukawia, mara moja, hivi sasa",filihali,
181,ajili,tenda jambo kwa haraka,"harakisha, angusa","ajilia, ajilika, ajilisha"
182,ajili,madhumuni : Chakula hiki ni kwa ajili ya msaada kwa wenye shida ya ukame.,"nia, sababu",
183,ajinabi,mwananchi wa nchi ya kigeni | mtu ambaye siye ndugu yako,mgeni,
184,ajinabia,"-enye asili ya kigeni, iliyo geni",,
185,ajira,kazi ya kulipwa mshahara,,
187,ajiri,-pa mtu kazi ya kumlipa mshahara,,"ajirika, ajirisha, ajiriwa"
188,ajizi,kuwa mvivu,zembea,"ajizika, ajizisha"
189,ajizi,ulegevu,"uvivu, uzito, uzembe",
190,ajizi,-vivu,"-legevu, -zito, -zembe",
191,ajmaina,"kwa kila mtu, kwa wote",,
192,ajua,"mchezo unaochezwa na watu wawili wakikabiliana mbele ya ubao uliotobolewa mashimo juu yake, ambapo kete, komwe, kokoto au namu hutumbukizwa na kusambazwa kwa mujibu wa kanuni za mchezo huu | neno linalotumika kwenye mchezo wa karata pale mtu anaposahau ku",bao,
193,ajua,"tamko la kutaka kurudiwa kwa jambo, baada ya mtendaji wa kwanza kutoridhisha",,
194,ajuadi,"iliyo mashuhuri, iliyo maarufu sana, -enye heshima kubwa",,
195,ajuza,mtu wa jinsi ya kike aliyezeeka sana,"bikizee, bibi kizee, bibi kikongwe",
196,ajwari,kauli inayotolewa na mcheza karata kumwambia mshindani wake pale anaposahau kula mlo wa karata aliostahili kula,,
197,aka,"jenga kwa mawe au matofali | jenga ua kwa miti, matofali, mawe au miba",,"akisha, akika, akwa"
198,aka!,"neno linalotoa ishara ya kukataa jambo, mshangao wa kukataa",,
199,aka!,neno linalotoa ishara ya kushtuka,,
200,akademia,mazingira ya elimu na utaalamu,,
201,akali,"uhaba wa vitu, hali ya kuwa chache au ndogo kwa idadi : Kwa akali, kisima hiki kitachukua siku mbili kuchimbwa.",,
202,akania,tumia hatamu kuongozea farasi,,"akanika, akanisha, akaniwa"
203,akania,kamba ya kuongozea farasi,"hatamu, lijamuu",
204,akari,kileo kikali,,
205,akaunti,akiba inayowekwa benki kwa utaratibu ambao benki na mteja hukubaliana : akaunti ya akiba , akaunti ya hundi.,
207,akhera,mahali panapoaminiwa kuwa ndiko roho za wafu zinakoenda | maskani ya roho za wanadamu baada ya mauti,kuzimu,
208,akhi,ndugu,"rafiki, mwenzi, sahibu, bui",
209,akhiyari,watu wema,,
210,akhiyari,iliyo katika kiwango cha juu cha ubora au uzuri,,
211,akia,meza kwa pupa,"bwakia, gugumia, fakamia","akilia, akika, akisha, akiwa"
212,akiba,kitu kilichowekwa ili kitumike baadaye,,
213,akida,kiongozi au kamanda hususan wa jeshi | msaidizi wa mkuu wa wilaya katika enzi za ukoloni,,
214,akidi,"tosheleza, fikia idadi inayotakiwa | kamilisha, fikia mwisho | iga saini au maandishi ya mtu mwingine","maliza, ghushi","akidia, akidika, akidisha"
215,akidi,tendo la kufunga ndoa,,
216,akidi,idadi ya wajumbe wa mkutano inayohitajika ili kikao kiwe halali au uamuzi kutolewa,,
217,akidu,mfanyakazi wa maktaba,,
218,akifia,toa msaada wa mali au pesa,,"akifiana, akifisha, akifika, akifiwa"
219,akifisha,zuia mtu asifanye jambo,komesha,
220,akika,"karamu anayofanyiwa mtoto aliyetimiza siku nane baada ya kukatwa nywele kwa mara ya kwanza kwa kuchinja mbuzi, pia hufanywa baada ya mtoto kufa iwapo hakufanyiwa alipotimiza umri wa siku nane | mbuzi anayechinjwa kwa ajili ya karamu hiyo",,
221,akiki,dua anayosomewa mtoto aliyefariki ambayo hakusomewa alipotimiza siku nane baada ya kuzaliwa,,
222,akiki,aina mojawapo ya kito cha thamani chekundu sana kitiwacho kwenye pete,,
223,akiki,bonde lililosababishwa na mmomonyoko wa ardhi wakati wa mvua,,
224,akili,"uwezo wa mtu wa kujua kitu au jambo, -enye akili hodari, -enye akili timamu -sio na wazimu.","werevu, ujanja, maarifa",
225,akilili,nyota tatu zilizopo katika picha ya nge,,
226,akina,kundi la watu fulani : akina baba -> wanaume , : akina mama -> wanawake , : akina yahe -> watu wa kawaida
227,akiolojia,elimu ya uchanganuzi wa kisayansi wa mabaki ya mimea na wanyama yaliyozikwa ardhini,,
228,akisami,umbo au namba isiyo kamili. Mifano ya akisami:,"kipande, aria",
229,akisi,"rudisha mwanga au sura ya kitu kama vile kioo kinavyorudisha mwanga au sura ya kitu | toa picha, dokezo, ishara au fununu kuhusu jambo fulani : Tabia yake inaakisi jambo lililotokea utotoni",,"akisia, akisiana, akisika, akisisha, akisiwa"
230,akraba,ndugu wa karibu,jamaa,
231,akrabu,mshale unaoonyesha wakati katika saa : akrabu ya kuonyesha saa , akrabu ya kuonyesha dakika,
232,akrabu,upande wa dira : akrabu Magharibi, akrabu Mashariki,
233,akrama,"adhimu, -enye heshima",stahifu,
234,akronimu,kifupisho cha maneno: BAKITA ni akronimu ya maneno Baraza la Kiswahili la Taifa.,,
235,akselereta,"kichapuzi cha mwendokasi wa chombo kinachoendeshwa kwa injini kwa mfano gari, pikipiki, motaboti na kadhalika",,
236,akthari,"idadi ya watu, wanyama, vitu na kadhalika iliyo kubwa : Akthari ya watu hawaelewi umuhimu wa kutunza mazingira. | mlimbiko wa watu, wanyama, vitu na kadhalika","wingi, mkusanyiko",
237,akua,"gwia mtu au kitu mara moja | vamia | nyakua mali au vitu vya mwingine | fanya mashambulizi makali sana kwa maneno au kwa vifaa vingine, ama kwa kifaa fulani",,"akulia, akulika, akulisha, akuliwa, akuana"
238,akwami,umbo linaloonyesha wingi wa kaumu | vikundi vya mkusanyiko wa watu,,
239,ala,"mfuko wa ngozi, nguo, majani na kadhalika wa kuhifadhia kisu, upanga au jambia | kifaa cha kufanyia kazi | chombo cha muziki : Ala ya muziki niliyonunua ni nzuri. Ala za kutamkia katika kinywa cha binadamu huwa nyingi.",uo,
240,ala ala,neno litumikalo kutilia mkazo jambo kwa namna ya kukumbusha : Ala ala usisahau kazi yangu! | kwa uangalifu | sasa hivi : Fanya ala ala.,halahala,
241,ala ya sauti,sehemu katika kinywa cha binadamu ambapo neno au sauti hutamkiwa,,
242,ala!,neno linalotumika kuashiria mshangao au kushtuka,,
243,ala!,"tamko linaloonyesha mshangao na karipio analotoa mtu baada ya kukerwa na hali asiyotarajia : Ala! Nimekuita, mbona huji? (karipio) Nimesema toka hapa, ala! (karipio)",,
244,alaa,neno linalotumika kuashiria kuelewa kitu au jambo : Alaa! Kumbe toroli ni kigari cha kusukumwa.,,
245,alaa,"kwa hali yoyote, kwa namna yoyote",,
246,alaka,hali ya watu kuelewana vizuri | shida inayotokana na tendo alilofanya au alilofanyiwa mtu,,
247,alama,mchoro unaoonyesha ishara fulani : alama ya mguu , alama ya barabarani, alama ya kidole gumba
248,alamina,viumbe wote kwa pamoja : Mola ndiye mmiliki wa alamina ulimwenguni. viumbe wote kwa pamoja: Mola ndiye mmiliki wa alamina ulimwenguni.,,
249,alamsiki,salamu ya kuagana inayotumika wakati wa usiku , usiku mwema!,
250,alamu,"chombo au kitu kinachotahadharisha, beramu ya kutahadhari au hatari",,
251,alamu,sauti inayotolewa na vyombo vya kutoa hadhari,,
252,alasiri,muda baina ya saa nane jioni na saa kumi na moja jioni | kipindi cha swala ya Waislamu baina ya saa tisa na kumi na mbili jioni,,
253,alau,japo,"ingawa, hata kama, angaa, hata, lau",
254,albaki,"kitu kilichobakia, kitu kilichosalia","salio, bakaa",
255,albamu,"kitabu cha kuhifadhia picha | ng''amba nyembamba na bapa iliyorekodiwa nyimbo au kazi nyingine zaidi, ambayo hutoa sauti inapotiwa kwenye santuri au plea; sahani ya santuri za mwimbaji mmoja au waimbaji wengi walioshirikiana pamoja",sidii,
256,albino,mtu au mnyama ambaye nywele na ngozi yake haina rangi kamili na macho hayawezi kuvumilia jua : Serikali zote duniani zinafaa kuwa na sheria za kuwalinda albino dhidi ya ubaguzi.,zeruzeru,
257,aleikum salaam,ninyi nyote: : Wa aleikum salaam -> na kwenu nyinyi nyote iwe amani vivyo hivyo,,
258,Aleluya,neno wanalotumia Wakristo katika kuonyesha furaha na shangwe kwa Mungu : Aleluya Kristo amezaliwa!,,
259,alfa,mwanzo,,
260,alfaalfa,mmea wenye maua ya rangi ya buluu unaotumiwa kulisha wanyama wa kufugwa na huliwa na watu kama mboga,,
261,alfabeti,"mfuatano wa herufi zinazopangwa kwa utaratibu fulani wa lugha : alfabeti ya Kigiriki, alfabeti ya Kirumi",abjadi,
262,alfafa,kitambaa cha pamba au kipande cha shashi afungwacho mtu aliyetahiriwa ili asijitoneshe,kizingatine,
263,alfajiri,"muda mfupi kabla ya jua kuchomoza, muda wa baina ya kiza kinapotoweka na jua linapochomoza | swala inayoswaliwa muda huo na Waislamu",mapambazuko,
264,alfeni,elfu mbili,,
265,alfia,vazi rasmi lililovaliwa kichwani na madiwani hapo zamani,halfiya,
266,alfu,"mia kumi, mia mara kumi",,
267,Alhaji,mwanamume aliyehiji Makka,,
268,Alhamdulilahi,"neno linalotumiwa hususan na Waislamu kumaanisha kila sifa njema ni za Mwenyezi Mungu | neno linalotumika kumshukuru Mungu baada ya kupata, kufanya au kupatwa na jambo lolote : Alhamdulilahi! Serikali imetuletea vitabu vya bure shuleni.",,
269,Alhamisi,siku ya nne ya wiki kuanzia Jumatatu,,
270,alhani,"badili sehemu ya kifaa cha muziki ili kifaa kiweze kutoa sauti iliyo sahihi kinapotumika : Kabla ya kupiga wimbo, Bw. Masengo alialhani gitaa lake. | rekebisha redio au televisheni ili ipokee taarifa vizuri | rekebisha kifaa fulani cha injini au gari ili",,
